title,genre,duration,rating,year,certification,url
The Shawshank Redemption,Drama,142,9.3,1994,R,https://www.imdb.com//title/tt0111161/
The Godfather,"Crime, Drama",175,9.2,1972,R,https://www.imdb.com//title/tt0068646/
The Dark Knight,"Action, Crime, Drama",152,9.0,2008,PG-13,https://www.imdb.com//title/tt0468569/
The Lord of the Rings: The Return of the King,"Action, Adventure, Drama",201,9.0,2003,PG-13,https://www.imdb.com//title/tt0167260/
Schindler's List,"Biography, Drama, History",195,9.0,1993,R,https://www.imdb.com//title/tt0108052/
The Godfather Part II,"Crime, Drama",202,9.0,1974,R,https://www.imdb.com//title/tt0071562/
12 Angry Men,"Crime, Drama",96 ,9.0,1957,Approved,https://www.imdb.com//title/tt0050083/
777 Charlie,"Adventure, Comedy, Drama",164,8.9,2022,NA,https://www.imdb.com//title/tt7466810/
Pulp Fiction,"Crime, Drama",154,8.9,1994,R,https://www.imdb.com//title/tt0110912/
Rocketry: The Nambi Effect,"Biography, Drama",157,8.8,2022,NA,https://www.imdb.com//title/tt9263550/
Jai Bhim,"Crime, Drama, Mystery",164,8.8,2021,TV-MA,https://www.imdb.com//title/tt15097216/
Inception,"Action, Adventure, Sci-Fi",148,8.8,2010,PG-13,https://www.imdb.com//title/tt1375666/
The Lord of the Rings: The Two Towers,"Action, Adventure, Drama",179,8.8,2002,PG-13,https://www.imdb.com//title/tt0167261/
Fight Club,Drama,139,8.8,1999,R,https://www.imdb.com//title/tt0137523/
The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama",178,8.8,2001,PG-13,https://www.imdb.com//title/tt0120737/
Forrest Gump,"Drama, Romance",142,8.8,1994,PG-13,https://www.imdb.com//title/tt0109830/
"The Good, the Bad and the Ugly","Adventure, Western",178,8.8,1966,R,https://www.imdb.com//title/tt0060196/
Soorarai Pottru,Drama,153,8.7,2020,TV-MA,https://www.imdb.com//title/tt10189514/
The Matrix,"Action, Sci-Fi",136,8.7,1999,R,https://www.imdb.com//title/tt0133093/
Goodfellas,"Biography, Crime, Drama",145,8.7,1990,R,https://www.imdb.com//title/tt0099685/
Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy",124,8.7,1980,PG,https://www.imdb.com//title/tt0080684/
One Flew Over the Cuckoo's Nest,Drama,133,8.7,1975,R,https://www.imdb.com//title/tt0073486/
Sita Ramam,"Action, Drama, Mystery",163,8.6,2022,NA,https://www.imdb.com//title/tt20850406/
Interstellar,"Adventure, Drama, Sci-Fi",169,8.6,2014,PG-13,https://www.imdb.com//title/tt0816692/
City of God,"Crime, Drama",130,8.6,2002,R,https://www.imdb.com//title/tt0317248/
Spirited Away,"Animation, Adventure, Family",125,8.6,2001,PG,https://www.imdb.com//title/tt0245429/
Saving Private Ryan,"Drama, War",169,8.6,1998,R,https://www.imdb.com//title/tt0120815/
The Green Mile,"Crime, Drama, Fantasy",189,8.6,1999,R,https://www.imdb.com//title/tt0120689/
Life Is Beautiful,"Comedy, Drama, Romance",116,8.6,1997,PG-13,https://www.imdb.com//title/tt0118799/
Se7en,"Crime, Drama, Mystery",127,8.6,1995,R,https://www.imdb.com//title/tt0114369/
Terminator 2: Judgment Day,"Action, Sci-Fi",137,8.6,1991,R,https://www.imdb.com//title/tt0103064/
The Silence of the Lambs,"Crime, Drama, Thriller",118,8.6,1991,R,https://www.imdb.com//title/tt0102926/
Star Wars,"Action, Adventure, Fantasy",121,8.6,1977,PG,https://www.imdb.com//title/tt0076759/
Harakiri,"Action, Drama, Mystery",133,8.6,1962,Not Rated,https://www.imdb.com//title/tt0056058/
Seven Samurai,"Action, Drama",207,8.6,1954,Not Rated,https://www.imdb.com//title/tt0047478/
It's a Wonderful Life,"Drama, Family, Fantasy",130,8.6,1946,PG,https://www.imdb.com//title/tt0038650/
Kaithi,"Action, Adventure, Crime",145,8.5,2019,Not Rated,https://www.imdb.com//title/tt9900782/
96,"Drama, Romance",158,8.5,II) ,Not Rated,https://www.imdb.com//title/tt7019842/
Parasite,"Drama, Thriller",132,8.5,2019,R,https://www.imdb.com//title/tt6751668/
Whiplash,"Drama, Music",106,8.5,2014,R,https://www.imdb.com//title/tt2582802/
The Intouchables,"Biography, Comedy, Drama",112,8.5,2011,R,https://www.imdb.com//title/tt1675434/
Kantara,"Action, Adventure, Drama",148,8.5,2022,NA,https://www.imdb.com//title/tt15327088/
The Prestige,"Drama, Mystery, Sci-Fi",130,8.5,2006,PG-13,https://www.imdb.com//title/tt0482571/
The Departed,"Crime, Drama, Thriller",151,8.5,2006,R,https://www.imdb.com//title/tt0407887/
The Pianist,"Biography, Drama, Music",150,8.5,2002,R,https://www.imdb.com//title/tt0253474/
Gladiator,"Action, Adventure, Drama",155,8.5,2000,R,https://www.imdb.com//title/tt0172495/
American History X,"Crime, Drama",119,8.5,1998,R,https://www.imdb.com//title/tt0120586/
The Usual Suspects,"Crime, Drama, Mystery",106,8.5,1995,R,https://www.imdb.com//title/tt0114814/
Léon: The Professional,"Action, Crime, Drama",110,8.5,1994,R,https://www.imdb.com//title/tt0110413/
The Lion King,"Animation, Adventure, Drama",88 ,8.5,1994,G,https://www.imdb.com//title/tt0110357/
Cinema Paradiso,"Drama, Romance",155,8.5,1988,R,https://www.imdb.com//title/tt0095765/
Grave of the Fireflies,"Animation, Drama, War",89 ,8.5,1988,Not Rated,https://www.imdb.com//title/tt0095327/
Back to the Future,"Adventure, Comedy, Sci-Fi",116,8.5,1985,PG,https://www.imdb.com//title/tt0088763/
Apocalypse Now,"Drama, Mystery, War",147,8.5,1979,R,https://www.imdb.com//title/tt0078788/
Alien,"Horror, Sci-Fi",117,8.5,1979,R,https://www.imdb.com//title/tt0078748/
Once Upon a Time in the West,Western,165,8.5,1968,PG-13,https://www.imdb.com//title/tt0064116/
Psycho,"Horror, Mystery, Thriller",109,8.5,1960,R,https://www.imdb.com//title/tt0054215/
Rear Window,"Mystery, Thriller",112,8.5,1954,PG,https://www.imdb.com//title/tt0047396/
Casablanca,"Drama, Romance, War",102,8.5,1942,PG,https://www.imdb.com//title/tt0034583/
Modern Times,"Comedy, Drama, Romance",87 ,8.5,1936,G,https://www.imdb.com//title/tt0027977/
City Lights,"Comedy, Drama, Romance",87 ,8.5,1931,G,https://www.imdb.com//title/tt0021749/
Asuran,"Action, Drama",141,8.4,2019,Not Rated,https://www.imdb.com//title/tt9477520/
Vikram,"Action, Crime, Thriller",175,8.4,2022,NA,https://www.imdb.com//title/tt9179430/
Hamilton,"Biography, Drama, History",160,8.4,2020,PG-13,https://www.imdb.com//title/tt8503618/
Capernaum,Drama,126,8.4,2018,R,https://www.imdb.com//title/tt8267604/
Joker,"Crime, Drama, Thriller",122,8.4,I) (,R,https://www.imdb.com//title/tt7286456/
Your Name.,"Animation, Drama, Fantasy",106,8.4,2016,PG,https://www.imdb.com//title/tt5311514/
Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure",117,8.4,2018,PG,https://www.imdb.com//title/tt4633694/
Avengers: Endgame,"Action, Adventure, Drama",181,8.4,2019,PG-13,https://www.imdb.com//title/tt4154796/
Avengers: Infinity War,"Action, Adventure, Sci-Fi",149,8.4,2018,PG-13,https://www.imdb.com//title/tt4154756/
Coco,"Animation, Adventure, Comedy",105,8.4,I) (,PG,https://www.imdb.com//title/tt2380307/
Django Unchained,"Drama, Western",165,8.4,2012,R,https://www.imdb.com//title/tt1853728/
Top Gun: Maverick,"Action, Drama",130,8.4,2022,PG-13,https://www.imdb.com//title/tt1745960/
The Dark Knight Rises,"Action, Drama",164,8.4,2012,PG-13,https://www.imdb.com//title/tt1345836/
Drishyam 2,"Crime, Drama, Thriller",152,8.4,2021,NA,https://www.imdb.com//title/tt12361178/
3 Idiots,"Comedy, Drama",170,8.4,2009,PG-13,https://www.imdb.com//title/tt1187043/
Shershaah,"Action, Biography, Drama",135,8.4,2021,TV-14,https://www.imdb.com//title/tt10295212/
Sardar Udham,"Biography, Crime, Drama",164,8.4,2021,TV-MA,https://www.imdb.com//title/tt10280296/
Like Stars on Earth,"Drama, Family",165,8.4,2007,PG,https://www.imdb.com//title/tt0986264/
WALL·E,"Animation, Adventure, Family",98 ,8.4,2008,G,https://www.imdb.com//title/tt0910970/
The Lives of Others,"Drama, Mystery, Thriller",137,8.4,2006,R,https://www.imdb.com//title/tt0405094/
Oldboy,"Action, Drama, Mystery",120,8.4,2003,R,https://www.imdb.com//title/tt0364569/
Memento,"Mystery, Thriller",113,8.4,2000,R,https://www.imdb.com//title/tt0209144/
American Beauty,Drama,122,8.4,1999,R,https://www.imdb.com//title/tt0169547/
Princess Mononoke,"Animation, Action, Adventure",134,8.4,1997,PG-13,https://www.imdb.com//title/tt0119698/
Braveheart,"Biography, Drama, History",178,8.4,1995,R,https://www.imdb.com//title/tt0112573/
Come and See,"Drama, Thriller, War",142,8.4,1985,Not Rated,https://www.imdb.com//title/tt0091251/
Aliens,"Action, Adventure, Sci-Fi",137,8.4,1986,R,https://www.imdb.com//title/tt0090605/
Amadeus,"Biography, Drama, Music",160,8.4,1984,R,https://www.imdb.com//title/tt0086879/
Raiders of the Lost Ark,"Action, Adventure",115,8.4,1981,PG,https://www.imdb.com//title/tt0082971/
The Boat,"Drama, War",149,8.4,1981,R,https://www.imdb.com//title/tt0082096/
The Shining,"Drama, Horror",146,8.4,1980,R,https://www.imdb.com//title/tt0081505/
High and Low,"Crime, Drama, Mystery",143,8.4,1963,Not Rated,https://www.imdb.com//title/tt0057565/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Comedy, War",95 ,8.4,1964,PG,https://www.imdb.com//title/tt0057012/
Witness for the Prosecution,"Crime, Drama, Mystery",116,8.4,1957,Approved,https://www.imdb.com//title/tt0051201/
Paths of Glory,"Drama, War",88 ,8.4,1957,Approved,https://www.imdb.com//title/tt0050825/
Sunset Blvd.,"Drama, Film-Noir",110,8.4,1950,Passed,https://www.imdb.com//title/tt0043014/
The Great Dictator,"Comedy, Drama, War",125,8.4,1940,G,https://www.imdb.com//title/tt0032553/
Chhichhore,"Comedy, Drama, Romance",143,8.3,2019,Not Rated,https://www.imdb.com//title/tt9052870/
Raatchasan,"Crime, Drama, Mystery",170,8.3,2018,Not Rated,https://www.imdb.com//title/tt7060344/
Ayla: The Daughter of War,"Biography, Drama, History",125,8.3,2017,NA,https://www.imdb.com//title/tt6316138/
Vikram Vedha,"Action, Crime, Drama",147,8.3,2017,Not Rated,https://www.imdb.com//title/tt6148156/
Dangal,"Action, Biography, Drama",161,8.3,2016,Not Rated,https://www.imdb.com//title/tt5074352/
Drishyam,"Crime, Drama, Thriller",160,8.3,2013,Not Rated,https://www.imdb.com//title/tt3417422/
The Hunt,Drama,115,8.3,2012,R,https://www.imdb.com//title/tt2106476/
A Separation,Drama,123,8.3,2011,PG-13,https://www.imdb.com//title/tt1832382/
Incendies,"Drama, Mystery",131,8.3,2010,R,https://www.imdb.com//title/tt1255953/
Spider-Man: No Way Home,"Action, Adventure, Fantasy",148,8.3,2021,PG-13,https://www.imdb.com//title/tt10872600/
K.G.F: Chapter 2,"Action, Crime, Drama",168,8.3,2022,Not Rated,https://www.imdb.com//title/tt10698680/
Up,"Animation, Adventure, Comedy",96 ,8.3,2009,PG,https://www.imdb.com//title/tt1049413/
Toy Story 3,"Animation, Adventure, Comedy",103,8.3,2010,G,https://www.imdb.com//title/tt0435761/
Inglourious Basterds,"Adventure, Drama, War",153,8.3,2009,R,https://www.imdb.com//title/tt0361748/
Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi",108,8.3,2004,R,https://www.imdb.com//title/tt0338013/
Amélie,"Comedy, Romance",122,8.3,2001,R,https://www.imdb.com//title/tt0211915/
Requiem for a Dream,Drama,102,8.3,2000,R,https://www.imdb.com//title/tt0180093/
Good Will Hunting,"Drama, Romance",126,8.3,1997,R,https://www.imdb.com//title/tt0119217/
Toy Story,"Animation, Adventure, Comedy",81 ,8.3,1995,G,https://www.imdb.com//title/tt0114709/
Heat,"Action, Crime, Drama",170,8.3,1995,R,https://www.imdb.com//title/tt0113277/
Reservoir Dogs,"Crime, Thriller",99 ,8.3,1992,R,https://www.imdb.com//title/tt0105236/
Full Metal Jacket,"Drama, War",116,8.3,1987,R,https://www.imdb.com//title/tt0093058/
Once Upon a Time in America,"Crime, Drama",229,8.3,1984,R,https://www.imdb.com//title/tt0087843/
Scarface,"Crime, Drama",170,8.3,1983,R,https://www.imdb.com//title/tt0086250/
Star Wars: Episode VI - Return of the Jedi,"Action, Adventure, Fantasy",131,8.3,1983,PG,https://www.imdb.com//title/tt0086190/
The Sting,"Comedy, Crime, Drama",129,8.3,1973,PG,https://www.imdb.com//title/tt0070735/
A Clockwork Orange,"Crime, Sci-Fi",136,8.3,1971,R,https://www.imdb.com//title/tt0066921/
2001: A Space Odyssey,"Adventure, Sci-Fi",149,8.3,1968,G,https://www.imdb.com//title/tt0062622/
To Kill a Mockingbird,"Crime, Drama",129,8.3,1962,Approved,https://www.imdb.com//title/tt0056592/
Lawrence of Arabia,"Adventure, Biography, Drama",218,8.3,1962,Approved,https://www.imdb.com//title/tt0056172/
Judgment at Nuremberg,"Drama, War",179,8.3,1961,Approved,https://www.imdb.com//title/tt0055031/
The Apartment,"Comedy, Drama, Romance",125,8.3,1960,Approved,https://www.imdb.com//title/tt0053604/
North by Northwest,"Action, Adventure, Mystery",136,8.3,1959,Approved,https://www.imdb.com//title/tt0053125/
Vertigo,"Mystery, Romance, Thriller",128,8.3,1958,PG,https://www.imdb.com//title/tt0052357/
Pather Panchali,Drama,125,8.3,1955,Not Rated,https://www.imdb.com//title/tt0048473/
Singin' in the Rain,"Comedy, Musical, Romance",103,8.3,1952,G,https://www.imdb.com//title/tt0045152/
Ikiru,Drama,143,8.3,1952,Not Rated,https://www.imdb.com//title/tt0044741/
Bicycle Thieves,Drama,89 ,8.3,1948,Not Rated,https://www.imdb.com//title/tt0040522/
Double Indemnity,"Crime, Drama, Film-Noir",107,8.3,1944,Passed,https://www.imdb.com//title/tt0036775/
Citizen Kane,"Drama, Mystery",119,8.3,1941,PG,https://www.imdb.com//title/tt0033467/
M,"Crime, Mystery, Thriller",99 ,8.3,1931,Passed,https://www.imdb.com//title/tt0022100/
Metropolis,"Drama, Sci-Fi",153,8.3,1927,Not Rated,https://www.imdb.com//title/tt0017136/
The Kid,"Comedy, Drama, Family",68 ,8.3,1921,Passed,https://www.imdb.com//title/tt0012349/
1917,"Action, Drama, War",119,8.2,2019,R,https://www.imdb.com//title/tt8579674/
Uri: The Surgical Strike,"Action, Drama, History",138,8.2,2019,Not Rated,https://www.imdb.com//title/tt8291224/
Tumbbad,"Drama, Fantasy, Horror",104,8.2,2018,Not Rated,https://www.imdb.com//title/tt8239946/
Andhadhun,"Comedy, Crime, Music",139,8.2,2018,Not Rated,https://www.imdb.com//title/tt8108198/
K.G.F: Chapter 1,"Action, Crime, Drama",156,8.2,2018,Not Rated,https://www.imdb.com//title/tt7838252/
Green Book,"Biography, Comedy, Drama",130,8.2,2018,PG-13,https://www.imdb.com//title/tt6966692/
Baahubali 2: The Conclusion,"Action, Drama",167,8.2,2017,Not Rated,https://www.imdb.com//title/tt4849438/
Drishyam,"Crime, Drama, Mystery",163,8.2,2015,Not Rated,https://www.imdb.com//title/tt4430212/
Bhaag Milkha Bhaag,"Biography, Drama, Sport",186,8.2,2013,Not Rated,https://www.imdb.com//title/tt2356180/
Inside Out,"Animation, Adventure, Comedy",95 ,8.2,I) (,PG,https://www.imdb.com//title/tt2096673/
Gangs of Wasseypur,"Action, Comedy, Crime",321,8.2,2012,Not Rated,https://www.imdb.com//title/tt1954470/
Paan Singh Tomar,"Action, Biography, Crime",135,8.2,2012,Not Rated,https://www.imdb.com//title/tt1620933/
Zindagi Na Milegi Dobara,"Comedy, Drama, Musical",155,8.2,2011,Not Rated,https://www.imdb.com//title/tt1562872/
The Secret in Their Eyes,"Drama, Mystery, Romance",129,8.2,2009,R,https://www.imdb.com//title/tt1305806/
Warrior,"Action, Drama, Sport",140,8.2,2011,PG-13,https://www.imdb.com//title/tt1291584/
Shutter Island,"Mystery, Thriller",138,8.2,2010,R,https://www.imdb.com//title/tt1130884/
Demon Slayer the Movie: Mugen Train,"Animation, Action, Adventure",117,8.2,2020,R,https://www.imdb.com//title/tt11032374/
Miracle in Cell No. 7,Drama,132,8.2,2019,TV-14,https://www.imdb.com//title/tt10431500/
The Father,"Drama, Mystery",97 ,8.2,I) (,PG-13,https://www.imdb.com//title/tt10272386/
The Wolf of Wall Street,"Biography, Comedy, Crime",180,8.2,2013,R,https://www.imdb.com//title/tt0993846/
No Country for Old Men,"Crime, Drama, Thriller",122,8.2,2007,R,https://www.imdb.com//title/tt0477348/
My Father and My Son,"Drama, Family",112,8.2,2005,Not Rated,https://www.imdb.com//title/tt0476735/
There Will Be Blood,Drama,158,8.2,2007,R,https://www.imdb.com//title/tt0469494/
Pan's Labyrinth,"Drama, Fantasy, War",118,8.2,2006,R,https://www.imdb.com//title/tt0457430/
V for Vendetta,"Action, Drama, Sci-Fi",132,8.2,2005,R,https://www.imdb.com//title/tt0434409/
Batman Begins,"Action, Crime, Drama",140,8.2,2005,PG-13,https://www.imdb.com//title/tt0372784/
Swades,"Drama, Musical",189,8.2,2004,Not Rated,https://www.imdb.com//title/tt0367110/
Downfall,"Biography, Drama, History",156,8.2,2004,R,https://www.imdb.com//title/tt0363163/
Howl's Moving Castle,"Animation, Adventure, Family",119,8.2,2004,PG,https://www.imdb.com//title/tt0347149/
A Beautiful Mind,"Biography, Drama",135,8.2,2001,PG-13,https://www.imdb.com//title/tt0268978/
Kill Bill: Vol. 1,"Action, Crime, Drama",111,8.2,2003,R,https://www.imdb.com//title/tt0266697/
Finding Nemo,"Animation, Adventure, Comedy",100,8.2,2003,G,https://www.imdb.com//title/tt0266543/
Snatch,"Comedy, Crime",102,8.2,2000,R,https://www.imdb.com//title/tt0208092/
The Sixth Sense,"Drama, Mystery, Thriller",107,8.2,1999,PG-13,https://www.imdb.com//title/tt0167404/
"Lock, Stock and Two Smoking Barrels","Action, Comedy, Crime",107,8.2,1998,R,https://www.imdb.com//title/tt0120735/
The Truman Show,"Comedy, Drama",103,8.2,1998,PG,https://www.imdb.com//title/tt0120382/
L.A. Confidential,"Crime, Drama, Mystery",138,8.2,1997,R,https://www.imdb.com//title/tt0119488/
Children of Heaven,"Drama, Family, Sport",89 ,8.2,1997,PG,https://www.imdb.com//title/tt0118849/
Casino,"Crime, Drama",178,8.2,1995,R,https://www.imdb.com//title/tt0112641/
Jurassic Park,"Action, Adventure, Sci-Fi",127,8.2,1993,PG-13,https://www.imdb.com//title/tt0107290/
Unforgiven,"Drama, Western",130,8.2,1992,R,https://www.imdb.com//title/tt0105695/
Indiana Jones and the Last Crusade,"Action, Adventure",127,8.2,1989,PG-13,https://www.imdb.com//title/tt0097576/
Die Hard,"Action, Thriller",132,8.2,1988,R,https://www.imdb.com//title/tt0095016/
Ran,"Action, Drama, War",162,8.2,1985,R,https://www.imdb.com//title/tt0089881/
The Thing,"Horror, Mystery, Sci-Fi",109,8.2,1982,R,https://www.imdb.com//title/tt0084787/
Raging Bull,"Biography, Drama, Sport",129,8.2,1980,R,https://www.imdb.com//title/tt0081398/
The Elephant Man,"Biography, Drama",124,8.2,1980,PG,https://www.imdb.com//title/tt0080678/
Taxi Driver,"Crime, Drama",114,8.2,1976,R,https://www.imdb.com//title/tt0075314/
Monty Python and the Holy Grail,"Adventure, Comedy, Fantasy",91 ,8.2,1975,PG,https://www.imdb.com//title/tt0071853/
Dersu Uzala,"Adventure, Biography, Drama",142,8.2,1975,G,https://www.imdb.com//title/tt0071411/
Chinatown,"Drama, Mystery, Thriller",130,8.2,1974,R,https://www.imdb.com//title/tt0071315/
Z,"Crime, Drama, Thriller",127,8.2,1969,M/PG,https://www.imdb.com//title/tt0065234/
For a Few Dollars More,Western,132,8.2,1965,R,https://www.imdb.com//title/tt0059578/
The Great Escape,"Adventure, Drama, History",172,8.2,1963,Approved,https://www.imdb.com//title/tt0057115/
Yojimbo,"Action, Drama, Thriller",110,8.2,1961,Not Rated,https://www.imdb.com//title/tt0055630/
Some Like It Hot,"Comedy, Music, Romance",121,8.2,1959,Passed,https://www.imdb.com//title/tt0053291/
The Bridge on the River Kwai,"Adventure, Drama, War",161,8.2,1957,PG,https://www.imdb.com//title/tt0050212/
Dial M for Murder,"Crime, Thriller",105,8.2,1954,PG,https://www.imdb.com//title/tt0046912/
Tokyo Story,Drama,136,8.2,1953,Not Rated,https://www.imdb.com//title/tt0046438/
The Wages of Fear,"Adventure, Drama, Thriller",131,8.2,1953,Not Rated,https://www.imdb.com//title/tt0046268/
Umberto D.,Drama,89 ,8.2,1952,Not Rated,https://www.imdb.com//title/tt0045274/
Rashomon,"Crime, Drama, Mystery",88 ,8.2,1950,Not Rated,https://www.imdb.com//title/tt0042876/
All About Eve,Drama,138,8.2,1950,Passed,https://www.imdb.com//title/tt0042192/
The Treasure of the Sierra Madre,"Adventure, Drama, Western",126,8.2,1948,Passed,https://www.imdb.com//title/tt0040897/
To Be or Not to Be,"Comedy, Romance, War",99 ,8.2,1942,Passed,https://www.imdb.com//title/tt0035446/
Gone with the Wind,"Drama, Romance, War",238,8.2,1939,Passed,https://www.imdb.com//title/tt0031381/
The Passion of Joan of Arc,"Biography, Drama, History",114,8.2,1928,Passed,https://www.imdb.com//title/tt0019254/
The General,"Action, Adventure, Comedy",67 ,8.2,1926,Passed,https://www.imdb.com//title/tt0017925/
The Gold Rush,"Adventure, Comedy, Drama",95 ,8.2,1925,Passed,https://www.imdb.com//title/tt0015864/
Sherlock Jr.,"Action, Comedy, Romance",45 ,8.2,1924,Passed,https://www.imdb.com//title/tt0015324/
Portrait of a Lady on Fire,"Drama, Romance",122,8.1,2019,R,https://www.imdb.com//title/tt8613070/
Everything Everywhere All at Once,"Action, Adventure, Comedy",139,8.1,2022,R,https://www.imdb.com//title/tt6710474/
Pink,"Crime, Drama, Thriller",136,8.1,III),Not Rated,https://www.imdb.com//title/tt5571734/
A Silent Voice: The Movie,"Animation, Drama",130,8.1,2016,Not Rated,https://www.imdb.com//title/tt5323662/
"Three Billboards Outside Ebbing, Missouri","Comedy, Crime, Drama",115,8.1,2017,R,https://www.imdb.com//title/tt5027774/
Talvar,"Crime, Drama, Mystery",132,8.1,2015,Not Rated,https://www.imdb.com//title/tt4934950/
Klaus,"Animation, Adventure, Comedy",96 ,8.1,2019,PG,https://www.imdb.com//title/tt4729430/
Masaan,Drama,109,8.1,2015,NA,https://www.imdb.com//title/tt4635372/
The Handmaiden,"Drama, Romance, Thriller",145,8.1,2016,Not Rated,https://www.imdb.com//title/tt4016934/
Bajrangi Bhaijaan,"Action, Adventure, Comedy",163,8.1,2015,Not Rated,https://www.imdb.com//title/tt3863552/
Queen,"Adventure, Comedy, Drama",146,8.1,2013,Not Rated,https://www.imdb.com//title/tt3322420/
Logan,"Action, Drama, Sci-Fi",137,8.1,2017,R,https://www.imdb.com//title/tt3315342/
Room,"Drama, Thriller",118,8.1,I) (,R,https://www.imdb.com//title/tt3170832/
Wild Tales,"Comedy, Drama, Thriller",122,8.1,2014,R,https://www.imdb.com//title/tt3011894/
Tangerines,"Drama, War",87 ,8.1,2013,Not Rated,https://www.imdb.com//title/tt2991224/
Winter Sleep,Drama,196,8.1,2014,Not Rated,https://www.imdb.com//title/tt2758880/
PK,"Comedy, Drama, Sci-Fi",153,8.1,2014,Not Rated,https://www.imdb.com//title/tt2338151/
OMG: Oh My God!,"Comedy, Drama, Fantasy",125,8.1,2012,Not Rated,https://www.imdb.com//title/tt2283748/
The Grand Budapest Hotel,"Adventure, Comedy, Crime",99 ,8.1,2014,R,https://www.imdb.com//title/tt2278388/
Gone Girl,"Drama, Mystery, Thriller",149,8.1,2014,R,https://www.imdb.com//title/tt2267998/
Wolf Children,"Animation, Drama, Family",117,8.1,2012,PG,https://www.imdb.com//title/tt2140203/
Hacksaw Ridge,"Biography, Drama, History",139,8.1,2016,R,https://www.imdb.com//title/tt2119532/
Barfi!,"Comedy, Drama, Romance",151,8.1,2012,Not Rated,https://www.imdb.com//title/tt2082197/
12 Years a Slave,"Biography, Drama, History",134,8.1,2013,R,https://www.imdb.com//title/tt2024544/
Rush,"Action, Biography, Drama",123,8.1,I) (,R,https://www.imdb.com//title/tt1979320/
Ford v Ferrari,"Action, Biography, Drama",152,8.1,2019,PG-13,https://www.imdb.com//title/tt1950186/
Spotlight,"Biography, Crime, Drama",129,8.1,I) (,R,https://www.imdb.com//title/tt1895587/
Kahaani,"Mystery, Thriller",122,8.1,2012,Not Rated,https://www.imdb.com//title/tt1821480/
Udaan,Drama,134,8.1,2010,Not Rated,https://www.imdb.com//title/tt1639426/
The Help,Drama,146,8.1,2011,PG-13,https://www.imdb.com//title/tt1454029/
Prisoners,"Crime, Drama, Mystery",153,8.1,2013,R,https://www.imdb.com//title/tt1392214/
Mad Max: Fury Road,"Action, Adventure, Sci-Fi",120,8.1,2015,R,https://www.imdb.com//title/tt1392190/
A Wednesday,"Action, Crime, Drama",104,8.1,2008,Not Rated,https://www.imdb.com//title/tt1280558/
Gran Torino,Drama,116,8.1,2008,R,https://www.imdb.com//title/tt1205489/
Harry Potter and the Deathly Hallows: Part 2,"Adventure, Family, Fantasy",130,8.1,2011,PG-13,https://www.imdb.com//title/tt1201607/
Article 15,"Crime, Drama, Mystery",130,8.1,2019,Not Rated,https://www.imdb.com//title/tt10324144/
Hachi: A Dog's Tale,"Biography, Drama, Family",93 ,8.1,2009,G,https://www.imdb.com//title/tt1028532/
Mary and Max,"Animation, Comedy, Drama",92 ,8.1,2009,Not Rated,https://www.imdb.com//title/tt0978762/
How to Train Your Dragon,"Animation, Action, Adventure",98 ,8.1,2010,PG,https://www.imdb.com//title/tt0892769/
